,tabac,gum,year,num
23862,7.0,4.0,2001,1.0
23863,7.0,20.0,2001,3.0
23868,7.0,2.0,2001,19.0
23883,7.0,10.0,2002,8.0
23901,7.0,10.0,2002,57.0
23924,7.0,10.0,2002,54.0
23927,27.0,2.0,2002,2.0
23934,17.0,3.0,2002,51.0
23938,4.0,2.0,2002,4.0
23944,2.0,1.0,2002,2.0
23957,10.0,4.0,2002,9.0
23961,20.0,3.0,2002,53.0
23980,7.0,4.0,2002,1.0
23981,7.0,5.0,2002,5.0
23983,16.0,14.0,2002,8.0
24005,10.0,22.0,2002,6.0
24006,7.0,2.0,2002,7.0
24025,33.0,2.0,2002,51.0
24027,5.0,2.0,2002,1.0
24046,5.0,10.0,2002,8.0
24058,7.0,1.0,2002,10.0
24059,3.0,3.0,2002,51.0
24064,2.0,12.0,2002,5.0
24071,5.0,1.0,2002,53.0
24075,2.0,10.0,2002,2.0
24090,10.0,12.0,2002,1.0
24102,7.0,8.0,2002,1.0
24125,1.0,40.0,2002,53.0
24139,4.0,30.0,2002,7.0
24142,5.0,10.0,2002,51.0
24152,5.0,12.0,2002,52.0
24166,10.0,20.0,2002,4.0
24172,7.0,2.0,2002,51.0
24182,1.0,1.0,2002,6.0
24188,7.0,7.0,2002,51.0
24207,5.0,2.0,2002,8.0
24208,28.0,1.0,2002,9.0
24222,30.0,1.0,2002,51.0
24228,6.0,1.0,2002,6.0
24242,7.0,7.0,2002,12.0
24267,4.0,10.0,2002,6.0
24295,3.0,4.0,2002,6.0
24304,7.0,10.0,2002,5.0
24342,10.0,2.0,2002,4.0
24372,7.0,1.0,2002,1.0
24380,7.0,14.0,2002,12.0
24420,7.0,1.0,2002,51.0
24424,5.0,2.0,2002,4.0
24433,18.0,5.0,2002,4.0
24455,7.0,2.0,2002,6.0
24466,7.0,1.0,2002,53.0
24511,2.0,4.0,2002,9.0
24519,10.0,2.0,2002,57.0
24525,7.0,1.0,2002,5.0
24528,9.0,10.0,2002,8.0
24535,2.0,24.0,2002,55.0
24546,4.0,5.0,2002,51.0
24604,7.0,20.0,2002,3.0
24608,14.0,70.0,2002,8.0
24619,3.0,1.0,2002,8.0
24623,7.0,3.0,2002,2.0
24626,7.0,1.0,2002,6.0
24641,20.0,5.0,2002,9.0
24658,2.0,7.0,2002,4.0
24668,10.0,7.0,2002,53.0
24680,5.0,2.0,2002,1.0
24714,3.0,5.0,2002,3.0
24717,14.0,50.0,2002,53.0
24758,7.0,1.0,2002,4.0
24769,4.0,1.0,2002,5.0
24779,12.0,10.0,2002,1.0
24780,8.0,3.0,2002,2.0
24788,4.0,6.0,2002,11.0
24794,8.0,3.0,2002,17.0
